function,size,device_type,padding,type_execution,time_us
CovPred,15,CPU,N,serial,20370.00012933
CovPred,15,CPU,N,serial,6446.00004307
CovPred,15,CPU,N,serial,20595.99864879
CovPred,15,CPU,N,serial,21992.00025643
CovPred,15,CPU,N,serial,20163.99957938
CovPred,15,CPU,N,serial,18472.99972724
CovPred,15,CPU,Y,openMP,5056.99972564
CovPred,15,CPU,Y,openMP,108740.99825742
CovPred,15,CPU,Y,openMP,111645.99709446
CovPred,15,CPU,Y,openMP,173018.99788436
CovPred,15,CPU,Y,openMP,4812.00004288
CovPred,15,CPU,Y,openMP,46986.99922301
CovPred,15,CPU,Y,openMP,4712.99972560
CovPred,15,CPU,N,openMP,3378.99996339
CovPred,15,CPU,N,openMP,110008.99394276
CovPred,15,CPU,N,openMP,3799.99983124
CovPred,15,CPU,N,openMP,3934.99976781
CovPred,15,CPU,N,openMP,3769.99992113
CovPred,15,CPU,N,openMP,3792.99990527
CovPred,15,CPU,N,openMP,7638.00017012
CovPred,15,CPU,N,openMP,3700.99996871
CovPred,15,CPU,Y,openMP, 5006.79016113
CovPred,15,CPU,Y,openMP, 4053.11584473
CovPred,15,CPU,Y,openMP, 4053.11584473
CovPred,15,CPU,Y,openMP, 4053.11584473
CovPred,15,CPU,Y,openMP, 5006.79016113
CovPred,15,CPU,Y,openMP, 6198.88305664
CovPred,15,CPU,Y,openMP, 5006.79016113
CovPred,15,CPU,Y,openMP, 4053.11584473
CovPred,15,CPU,Y,openMP, 5006.79016113
CovPred,15,CPU,Y,openMP, 4768.37158203
CovPred,15,CPU,Y,openMP, 5006.79016113
CovPred,15,CPU,Y,openMP, 4053.11584473
CovPred,15,CPU,Y,openMP, 5960.46447754
CovPred,15,CPU,Y,openMP, 6198.88305664
CovPred,15,CPU,N,openMP, 5960.46447754

CovPred,15,GPU,Y,openMP, 3568887.71057129
CovPred,15,GPU,Y,openMP, 566959.38110352
CovPred,15,GPU,Y,openMP, 566959.38110352
CovPred,15,GPU,Y,openMP, 570058.82263184
CovPred,15,GPU,Y,openMP, 494956.97021484
CovPred,15,GPU,Y,openMP, 483989.71557617
CovPred,15,GPU,Y,openMP, 504016.87622070
CovPred,15,GPU,Y,openMP, 497102.73742676
CovPred,15,GPU,Y,openMP, 484943.38989258

CovPred,15,CPU,Y,oneMKL,24612.99845891
CovPred,15,CPU,Y,oneMKL,24749.99928381
CovPred,15,CPU,Y,oneMKL,39705.99937020
CovPred,15,CPU,Y,oneMKL,26814.99972823
CovPred,15,CPU,Y,oneMKL,24953.99894542
CovPred,15,CPU,Y,oneMKL,135884.99859907
CovPred,15,CPU,Y,oneMKL,23400.99854337
CovPred,15,CPU,N,oneMKL,25178.99883969
CovPred,15,CPU,N,oneMKL,21353.00019290
CovPred,15,CPU,N,oneMKL,54263.99729913
CovPred,15,CPU,N,oneMKL,48567.99932895
CovPred,15,CPU,N,oneMKL,28854.99998229
CovPred,15,CPU,N,oneMKL,32264.00076528
CovPred,15,GPU,N,oneMKL, 621466.95563570
CovPred,15,CPU,N,oneMKL, 25943.99848022
CovPred,15,GPU,Y,oneMKL, 550251.97798386
CovPred,15,GPU,Y,oneMKL, 559023.98889884
CovPred,15,GPU,Y,oneMKL, 560067.01197475
CovPred,15,GPU,Y,oneMKL, 602466.98558331
CovPred,15,GPU,Y,oneMKL, 548357.95890540
CovPred,15,GPU,N,oneMKL, 527284.98121724
CovPred,15,CPU,Y,oneMKL,616403.99508178
CovPred,15,GPU,N,oneMKL, 603371.99829519
CovPred,15,GPU,N,oneMKL, 551291.97426140
CovPred,15,CPU,Y,oneMKL,30515.99924220